indicator_id,YearStart,YearEnd,LocationDesc,Topic,Question,DataValueUnit,DataValue
8488,2016,2016,New York,Overarching Conditions,Recent activity limitation among adults aged >= 18 years,Number,2.4
1390,2012,2012,Arizona,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,%,59.4
2301,2014,2014,Illinois,Oral Health,No tooth loss among adults aged 18-64 years,%,
552,2009,2013,Michigan,Cancer,"Cancer of the prostate, mortality",,
4546,2012,2012,Wisconsin,Cardiovascular Disease,Mortality from total cardiovascular diseases,"cases per 100,000",34.0
1074,2012,2012,Tennessee,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,3868
4191,2017,2017,Idaho,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,%,28.7
697,2015,2015,West Virginia,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,
731,2013,2013,Nevada,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",11.76
5306,2013,2013,Connecticut,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,30.4
2485,2017,2017,Rhode Island,"Nutrition, Physical Activity, and Weight Status",Soda consumption among high school students,%,
8228,2016,2017,Iowa,Oral Health,Dental visits among children and adolescents aged 1-17 years,%,83.6
8900,2012,2016,South Carolina,Cancer,"Invasive cancer of the female breast, incidence",,4944
6559,2012,2012,Colorado,Cardiovascular Disease,Mortality from coronary heart disease,,133
366,2011,2011,Arizona,Alcohol,Heavy drinking among women aged 18-44 years,%,
1472,2014,2014,Wyoming,Disability,Disability among adults aged >= 65 years,%,
7604,2014,2014,Idaho,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,20.3
2767,2013,2013,Louisiana,Alcohol,Binge drinking intensity among adults aged >= 18 years who binge drink,Number,8.7
1333,2016,2016,Delaware,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,"cases per 100,000",
930,2015,2015,Colorado,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,%,36.7
3661,2016,2016,Nevada,Tobacco,Current smokeless tobacco use among adults aged >= 18 years,%,2.5
9043,2014,2014,Wyoming,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,60.2
8173,2008,2012,Alaska,Cancer,"Cancer of the female cervix, mortality",,
9006,2014,2014,Wyoming,Cardiovascular Disease,Hospitalization for acute myocardial infarction,"cases per 10,000",
9046,2014,2014,District of Columbia,Cardiovascular Disease,Hospitalization for acute myocardial infarction,,133
7008,2015,2015,Wyoming,Asthma,Asthma mortality rate,"cases per 1,000,000",
7065,2011,2011,Arkansas,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,%,60.0
