LocationDesc,indicator_id,YearStart,YearEnd,Topic,Question,DataValueUnit,DataValue
Tennessee,1074,2012,2012,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,3868
Montana,9769,2014,2014,Tobacco,Current smokeless tobacco use among adults aged >= 18 years,%,8.0
Alabama,4768,2016,2016,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",14.28
North Dakota,6789,2012,2012,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,65.5
Puerto Rico,1170,2016,2016,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,25.7
Guam,1794,2011,2011,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,%,35.9
Kansas,5502,2016,2016,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,%,41.6
New York,8488,2016,2016,Overarching Conditions,Recent activity limitation among adults aged >= 18 years,Number,2.4
Oregon,9193,2014,2014,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,%,45.1
West Virginia,697,2015,2015,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,
Rhode Island,2485,2017,2017,"Nutrition, Physical Activity, and Weight Status",Soda consumption among high school students,%,
New Jersey,3676,2011,2011,Overarching Conditions,Self-rated health status among women aged 18-44 years,%,
Iowa,8228,2016,2017,Oral Health,Dental visits among children and adolescents aged 1-17 years,%,83.6
Arizona,1390,2012,2012,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,%,59.4
Indiana,9114,2015,2015,Cardiovascular Disease,Hospitalization for acute myocardial infarction,"cases per 10,000",
Vermont,1477,2010,2014,Cancer,"Cancer of the lung and bronchus, incidence",,
Pennsylvania,5528,2013,2013,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease,%,49.1
